ano_publicacao_contrato;numero_processo_formatado;numero_contrato;nome_empresarial_nome_fornecedor;numero_item_pedido;codigo_item_material_servico_numerico;item_material_servico;unnamed_7;unnamed_8;unnamed_9;codigo_elemento_item_despesa;nome_elemento_item_despesa;quantidade_item_pedido;valor_unitario_referencia_item_pedido;valor_total_referencia_item_pedido
2026;0501044 000258/2025;9494578;NEWCARE COMERCIO DE MATERIAIS CIRURGICOS E HOSPITALARES LTDA;2;233099;"SONDA DE USO MEDICO - IDENTIFICACAO: DE ASPIRACAO TRAQUEAL COM VALVULA; NUMERO/TAMANHO: 8; MATERIA-PRIMA: POLIVINIL TRANSPARENTE;";;;;3010;MATERIAL MEDICO E HOSPITALAR;1;1,41;7896,0
2026;0501044 000258/2025;9494578;NEWCARE COMERCIO DE MATERIAIS CIRURGICOS E HOSPITALARES LTDA;3;233099;"SONDA DE USO MEDICO - IDENTIFICACAO: DE ASPIRACAO TRAQUEAL COM VALVULA; NUMERO/TAMANHO: 8; MATERIA-PRIMA: POLIVINIL TRANSPARENTE;";;;;3010;MATERIAL MEDICO E HOSPITALAR;1;1,41;79383,0
2026;0501044 000258/2025;9494580;HTS - TECNOLOGIA EM SAUDE, COMERCIO IMPORTACAO E EXPORTACAO LTDA;5;611492;"FIO GUIA - MATERIA PRIMA: HIDROFILICO RIGIDO; FINALIDADE: POSICIONAR PROTESE METALICA BILIAR AUTO EXPANSIVEL; MEDIDAS: COM 450CM DE COMPRIMENTO E DIAMETRO DE 0,035"";";;;;3010;MATERIAL MEDICO E HOSPITALAR;1;737,5;26550,0
2026;0501044 000258/2025;9495605;CM HOSPITALAR S.A.;2;69027;"SONDA DE USO MEDICO - IDENTIFICACAO: DE ASPIRACAO TRAQUEAL COM VALVULA; NUMERO/TAMANHO: 6; MATERIA-PRIMA: POLIVINIL TRANSPARENTE;";;;;3010;MATERIAL MEDICO E HOSPITALAR;1;1,32;19800,0
2026;0501044 000258/2025;9495605;CM HOSPITALAR S.A.;3;69027;"SONDA DE USO MEDICO - IDENTIFICACAO: DE ASPIRACAO TRAQUEAL COM VALVULA; NUMERO/TAMANHO: 6; MATERIA-PRIMA: POLIVINIL TRANSPARENTE;";;;;3010;MATERIAL MEDICO E HOSPITALAR;1;1,32;4752,0
2026;0501044 000259/2025;9488826;INSTITUTO HERMES PARDINI S/A;1;120162;SERVICOS DE REALIZACAO DE EXAMES LABORATORIAIS;;;;3998;SERVICOS DE SAUDE PRESTADOS CONTRATUALMENTE POR PESSOA JURIDICA;1;28,5;1425,0
2026;0501044 000264/2025;9493570;MASTERMED COMERCIAL LTDA -EPP;1;27510;"TAMPAO NASAL - MATERIA-PRIMA: FABRICADO EM 1 UNICA CAMADA DE ESPONJA ABSORVENTE; MODELO: ANATOMICO; DIMENSOES: 8,0 X 1,5 X 3,0CM;";;;;3010;MATERIAL MEDICO E HOSPITALAR;1;195,0;538200,0
2026;0501044 000289/2025;9495732;MILLENIUM COMERCIO SERVICO LTDA - EPP;1;804061;"MASCARA FACIAL ANATOMICA - TIPO: NEONATAL REDONDA; NUMERO/TAMANHO: 02; MATERIA-PRIMA: SILICONE;";;;;3010;MATERIAL MEDICO E HOSPITALAR;1;38,315;2298,9
2026;0503007 000080/2025;9493135;MEDICAL LOG COMERCIO E INDUSTRIA DE PRODUTOS MEDICOS LTDA;1;1984845;"CONJUNTO GASTROSTOMIA - TIPO: SONDA PELE BAIXO PERFIL, MIC-KEY; DIAMETRO: 20 FR; COMPRIMENTO: 1,0 A 4,0 CM (INTERVALO DE 0,2 CM); MATERIA-PRIMA: SILICONE BIOCOMPATIVEL; COMPONENTES (1): SONDA DE LINHA RADIOPACA, PONTA ATRAUMATICA; COMPONENTES (2): BALAO DE RETENCAO, VOLUME MAXIMO INSUFLACAO 10 ML; COMPONENTES (3): VALVULA ANTIRREFLUXO; COMPONENTES (4): EXTENSOR EM Y (MEDICACAO E ALIMENTACAO);";;;;3010;MATERIAL MEDICO E HOSPITALAR;1;1350,0;413100,0
2026;0503007 000080/2025;9493135;MEDICAL LOG COMERCIO E INDUSTRIA DE PRODUTOS MEDICOS LTDA;2;1984810;"CONJUNTO GASTROSTOMIA - TIPO: SONDA PELE BAIXO PERFIL; DIAMETRO: 14 FR; COMPRIMENTO: 1,0 A 4,0 CM (INTERVALO DE 0,2 CM); MATERIA-PRIMA: SILICONE BIOCOMPATIVEL; COMPONENTES (1): SONDA DE LINHA RADIOPACA, PONTA ATRAUMATICA; COMPONENTES (2): BALAO DE RETENCAO, VOLUME MAXIMO INSUFLACAO 5 ML; COMPONENTES (3): VALVULA ANTIRREFLUXO; COMPONENTES (4): EXTENSOR EM Y (MEDICACAO E ALIMENTACAO);";;;;3010;MATERIAL MEDICO E HOSPITALAR;1;1643,1687;323704,23
2026;0503007 000080/2025;9493135;MEDICAL LOG COMERCIO E INDUSTRIA DE PRODUTOS MEDICOS LTDA;3;1984837;"CONJUNTO GASTROSTOMIA - TIPO: SONDA PELE BAIXO PERFIL; DIAMETRO: 18 FR; COMPRIMENTO: 1,0 A 4,0 CM (INTERVALO DE 0,2 CM); MATERIA-PRIMA: SILICONE BIOCOMPATIVEL; COMPONENTES (1): SONDA DE LINHA RADIOPACA, PONTA ATRAUMATICA; COMPONENTES (2): BALAO DE RETENCAO, VOLUME MAXIMO INSUFLACAO 10 ML; COMPONENTES (3): VALVULA ANTIRREFLUXO; COMPONENTES (4): EXTENSOR EM Y (MEDICACAO E ALIMENTACAO);";;;;3010;MATERIAL MEDICO E HOSPITALAR;1;1350,0;302400,0
